Time,Open,High,Low,Close,Vol,Percent,Id,Timestamp,Vol20,Vol21
1558752300,32601.99993,32650.97999,32452,32650.97999,0.42823151,0.46,99,2019-05-25 02:45:00,0.42823151,0.30645710449999297
1558752600,32452.00171,32650.96923,32452,32452,0.75915376,-0.61,100,2019-05-25 02:50:00,0.75915376,0.3348790024999929
1558752900,32650.95969,32650.95969,32380.00001,32648.71897,0.56091908,0.61,101,2019-05-25 02:55:00,0.56091908,0.35649986849999293
1558753200,32380.32044,32646.91995,32380.32044,32385.06004,0.73317054,-0.81,102,2019-05-25 03:00:00,0.73317054,0.38814760549999294
1558753500,32385.14018,32637,32353.01,32353.14001,1.09266674,-0.1,103,2019-05-25 03:05:00,1.09266674,0.423890062999993
1558753800,32400,32599.8796,32400,32599.8796,0.00215337,0.76,104,2019-05-25 03:10:00,0.00215337,0.417878627499993
1558754100,32355,32599.77948,32355,32550,0.17691898,-0.15,105,2019-05-25 03:15:00,0.17691898,0.403787861499993
1558754400,32550,32628.74999,32356.00073,32356.08091,0.17844358,-0.6,106,2019-05-25 03:20:00,0.17844358,0.33731301149999304
1558754700,32628.40918,32628.40918,32357.40876,32626.19987,0.36236157,0.83,107,2019-05-25 03:25:00,0.36236157,0.333112147499993
1558755000,32626.08,32626.08,32358.41007,32622.47984,0.09251144,-0.01,108,2019-05-25 03:30:00,0.09251144,0.313332652999993
1558755300,32365.06009,32621.91977,32365.06009,32450.00003,0.01857335,-0.53,109,2019-05-25 03:35:00,0.01857335,0.304358422999993
1558755600,32451.00003,32451.00003,32450,32450,0.66719518,-0.0,110,2019-05-25 03:40:00,0.66719518,0.333338825499993
1558755900,32450,32594.99591,32360.00001,32594.99591,0.0497143,0.45,111,2019-05-25 03:45:00,0.0497143,0.322957954499993
1558756200,32360.00001,32360.00001,32357.52,32358.45,0.26391,-0.73,112,2019-05-25 03:50:00,0.26391,0.328585051999993
1558756500,32594.97514,32594.97514,32357.52001,32357.52001,0.17020432,-0.0,113,2019-05-25 03:55:00,0.17020432,0.3320995929999929
1558756800,32594.97197,32594.97203,32357.52,32594.95961,0.27471637,0.73,114,2019-05-25 04:00:00,0.27471637,0.33708391799999293
1558757100,32357.52001,32594.95961,32357.52,32357.52001,0.08183124,-0.73,115,2019-05-25 04:05:00,0.08183124,0.3271549164999929
1558757400,32357.25,32357.52,32355.25,32357.52,0.03102653,-0.0,116,2019-05-25 04:10:00,0.03102653,0.3228096949999929
1558757700,32352.9,32355.25,32345.67,32345.67,0.64462742,-0.04,117,2019-05-25 04:15:00,0.64462742,0.3299531764999929
